Departamento,Municipio,Orden
Jinotega,Jinotega,1
Jinotega,El Cuá,2
Jinotega,La Concordia,3
Jinotega,San José de Bocay,4
Jinotega,San Rafael del Norte,5
Jinotega,San Sebastián de Yalí,6
Jinotega,Santa María de Pantasma,7
Jinotega,Wiwilí de Jinotega,8
Matagalpa,Matagalpa,1
Matagalpa,Ciudad Darío,2
Matagalpa,El Tuma - La Dalia,3
Matagalpa,Esquipulas,4
Matagalpa,Matiguás,5
Matagalpa,Muy Muy,6
Matagalpa,Rancho Grande,7
Matagalpa,Río Blanco,8
Matagalpa,San Dionisio,9
Matagalpa,San Isidro,10
Matagalpa,San Ramón,11
Matagalpa,Sébaco,12
Matagalpa,Terrabona,13
Estelí,Estelí,1
Estelí,Condega,2
Estelí,La Trinidad,3
Estelí,Pueblo Nuevo,4
Estelí,San Juan de Limay,5
Estelí,San Nicolás,6
Madriz,Somoto,1
Madriz,Las Sabanas,2
Madriz,Palacagüina,3
Madriz,San José de Cusmapa,4
Madriz,San Juan de Río Coco,5
Madriz,San Lucas,6
Madriz,Telpaneca,7
Madriz,Totogalpa,8
Madriz,Yalagüina,9
Nueva Segovia,Ocotal,1
Nueva Segovia,Ciudad Antigua,2
Nueva Segovia,Dipilto,3
Nueva Segovia,El Jícaro,4
Nueva Segovia,Jalapa,5
Nueva Segovia,Macuelizo,6
Nueva Segovia,Mozonte,7
Nueva Segovia,Murra,8
Nueva Segovia,Quilalí,9
Nueva Segovia,San Fernando,10
Nueva Segovia,Santa María,11
Nueva Segovia,Wiwilí,12
